Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.03 
Min n.eff:                        0 


Model summary 
============= 
                        mean         sd          2.5%          50%       97.5% Rhat n.eff
mean.R[1, 9]     0.087252074 0.03874274  0.0295764672  0.081331469  0.17780195 1.00  6527
mean.R[2, 9]     0.143276857 0.07093706  0.0413035409  0.132227583  0.31419206 1.00  4729
mean.R[3, 9]     0.178717398 0.09386143  0.0446798821  0.161931463  0.40313836 1.00  4715
mean.R[4, 9]     0.100332228 0.05192070  0.0272448309  0.090974674  0.22597199 1.00  5003
mean.R[5, 9]     0.233114711 0.10080172  0.0749223111  0.220488894  0.46305114 1.00  5787
mean.R[6, 9]     0.076598879 0.05157932  0.0134947813  0.064540002  0.21052789 1.00  5177
mean.R[1, 10]    0.050173520 0.03046086  0.0096736552  0.044003514  0.12435620 1.00  4660
mean.R[2, 10]    0.112012154 0.06775089  0.0201892612  0.099044895  0.27829257 1.00  4305
mean.R[3, 10]    0.181953510 0.11910214  0.0271462945  0.155277890  0.47664994 1.00  4097
mean.R[4, 10]    0.098177221 0.05919854  0.0179742553  0.086976308  0.24384967 1.00  4182
mean.R[5, 10]    0.255271399 0.12404292  0.0584243451  0.241561414  0.53131003 1.00  3666
mean.R[6, 10]    0.086254206 0.06740096  0.0094890596  0.068048099  0.26297656 1.00  3630
mean.R[1, 11]    0.330099239 0.15093720  0.1012131010  0.308260925  0.67168208 1.00  2056
mean.R[2, 11]    0.287318763 0.13119757  0.0889888275  0.268240880  0.59239457 1.00  2679
mean.R[3, 11]    0.219853905 0.12121460  0.0495945055  0.197370382  0.51152515 1.00  3592
mean.R[4, 11]    0.144201223 0.10720986  0.0216721552  0.114810769  0.42926485 1.00  2741
mean.R[5, 11]    0.228883512 0.13293927  0.0458782862  0.203434739  0.54704676 1.00  2977
mean.R[6, 11]    0.085820843 0.07300584  0.0091313618  0.063944016  0.28107434 1.00  3947
mean.R[1, 12]    0.142024371 0.07920098  0.0284473922  0.128857225  0.33245274 1.00  4744
mean.R[2, 12]    0.126001729 0.07606740  0.0218848462  0.111396186  0.30831843 1.00  5939
mean.R[3, 12]    0.097552618 0.07254594  0.0116695159  0.079570572  0.28421064 1.00  5698
mean.R[4, 12]    0.056099776 0.04605187  0.0062887087  0.043944422  0.17951566 1.00  4124
mean.R[5, 12]    0.100329578 0.07211281  0.0134120366  0.082560340  0.28715352 1.00  5612
mean.R[6, 12]    0.032533828 0.03025815  0.0025989288  0.023762378  0.11500779 1.00  6014
mean.R[1, 13]    0.268684394 0.12704930  0.0834250748  0.247626263  0.57518091 1.00  2759
mean.R[2, 13]    0.257618631 0.11390494  0.0868890259  0.241084054  0.52473489 1.00  3328
mean.R[3, 13]    0.216644046 0.11441433  0.0555694989  0.195799848  0.49633141 1.00  5748
mean.R[4, 13]    0.136252338 0.08818885  0.0259372460  0.116705062  0.35978440 1.00  3197
mean.R[5, 13]    0.237578934 0.13077332  0.0544195276  0.212957521  0.55282986 1.00  3731
mean.R[6, 13]    0.086053581 0.06856327  0.0112263187  0.067817211  0.26776865 1.00  6100
mean.R[1, 14]    0.124375716 0.07273249  0.0232728611  0.110725765  0.30316963 1.00  4785
mean.R[2, 14]    0.127468813 0.07432002  0.0234548956  0.114658366  0.30527798 1.00  5006
mean.R[3, 14]    0.109416260 0.06933969  0.0178336599  0.095453941  0.28156204 1.00  5147
mean.R[4, 14]    0.063584124 0.04601643  0.0087834743  0.052330207  0.18389573 1.00  4257
mean.R[5, 14]    0.125667761 0.08244483  0.0193108209  0.107600867  0.32952779 1.00  5913
mean.R[6, 14]    0.040063437 0.03419043  0.0038935100  0.030635265  0.12884230 1.00  5289
mean.R[1, 15]    0.103300437 0.05825822  0.0218106609  0.093494404  0.24449728 1.00  4976
