Information and diagnostics 
=========================== 
Total iter:                       10 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         Inf 
Min n.eff:                        0 


Model summary 
============= 
                        mean           sd          2.5%          50%        97.5%   Rhat n.eff
mean.M[1, 12]    0.114123479 5.488108e-02  0.0310285286  0.123106385  0.220685371  11.93    15
mean.M[2, 12]    0.101761620 3.494050e-02  0.0187181171  0.114916143  0.135908155   1.30    23
mean.M[3, 12]    0.064883578 1.873936e-02  0.0291834446  0.060339329  0.095822965   1.76    26
mean.M[4, 12]    0.019982071 6.705004e-03  0.0119453485  0.019431257  0.034094199   1.09    36
mean.M[5, 12]    0.217725049 1.450206e-01  0.0269218318  0.261515935  0.410265066   4.43    30
mean.M[1, 13]    0.144936209 8.198880e-02  0.0334362815  0.106555130  0.255421720  10.70    23
mean.M[2, 13]    0.092193571 5.639691e-02  0.0466866833  0.068923250  0.231525896   5.24    22
mean.M[3, 13]    0.082022127 2.938587e-02  0.0284944642  0.081531739  0.135472183   2.19    30
mean.M[4, 13]    0.026607886 1.388646e-02  0.0116510811  0.021971130  0.051177901   7.33    22
mean.M[5, 13]    0.173166546 1.212652e-01  0.0350222793  0.155833405  0.332833869   3.52    30
mean.M[1, 14]    0.107198868 6.507751e-02  0.0267484635  0.109743603  0.201798590   6.59    19
mean.M[2, 14]    0.113018359 4.365926e-02  0.0518694633  0.122858806  0.189934550   1.12    19
mean.M[3, 14]    0.074733568 3.149404e-02  0.0344053786  0.072327031  0.130277452   1.89    15
mean.M[4, 14]    0.021620623 7.110417e-03  0.0113597112  0.020873278  0.038858370   1.13    23
mean.M[5, 14]    0.174506996 1.012204e-01  0.0417596446  0.196874498  0.320035396   2.78    45
mean.M[1, 15]    0.144127506 5.905172e-02  0.0457504481  0.153835057  0.225657582   6.65    22
mean.M[2, 15]    0.083692832 3.036381e-02  0.0399260913  0.083800816  0.131488503   3.96    22
mean.M[3, 15]    0.068216836 1.825612e-02  0.0454403574  0.067557198  0.105111287   1.43    15
mean.M[4, 15]    0.018554583 1.077449e-02  0.0032934905  0.018468132  0.042000227   2.22    23
mean.M[5, 15]    0.230220089 1.494545e-01  0.0645434991  0.205943889  0.402909980   1.84    14
mean.M[1, 16]    0.102647069 7.156786e-02  0.0168827230  0.090230238  0.255259048   2.03    30
