Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.14 
Min n.eff:                        0 


Model summary 
============= 
                        mean          sd         2.5%           50%       97.5% Rhat n.eff
betaVR.R[1]      0.535593091 0.720803227 -0.862674914  5.204962e-01  1.96702089 1.00  1445
eps.phi[4, 11]   0.636084914 0.559466212 -0.383909284  6.052241e-01  1.81589620 1.00  3582
eps.phi[1, 12]  -0.318509474 0.471633066 -1.247868613 -3.206228e-01  0.59952326 1.00  3465
eps.phi[2, 12]  -0.081153470 0.513707412 -1.080049807 -8.551521e-02  0.94027479 1.00  4123
eps.phi[3, 12]   0.095273408 0.577408901 -0.998020984  8.272025e-02  1.29135443 1.00  5857
eps.phi[4, 12]  -0.016831603 0.429688292 -0.844505229 -2.232434e-02  0.83486434 1.00  3252
eps.phi[1, 13]  -0.720930038 0.435710576 -1.604448159 -7.152352e-01  0.12301720 1.00  2884
eps.phi[2, 13]   0.127766271 0.517331184 -0.846689118  1.117029e-01  1.20222459 1.00  5188
eps.phi[3, 13]  -0.093350147 0.604435573 -1.286356723 -9.808882e-02  1.11424602 1.00  6278
eps.phi[4, 13]   0.127689746 0.430077622 -0.700383996  1.220452e-01  1.01398692 1.00  3432
eps.phi[1, 14]   0.319456001 0.495829410 -0.615474077  3.012131e-01  1.36675961 1.00  4794
eps.phi[2, 14]   0.192169738 0.515089709 -0.768571868  1.693383e-01  1.26616904 1.00  5380
eps.phi[3, 14]  -0.064358877 0.599293525 -1.251186867 -7.282572e-02  1.16133546 1.00  6459
eps.phi[4, 14]  -0.588673048 0.415577908 -1.428369989 -5.811895e-01  0.21552158 1.00  3483
eps.phi[1, 15]   0.183312928 0.436806890 -0.635020054  1.634939e-01  1.08049954 1.00  4737
eps.phi[2, 15]   0.051453426 0.480162760 -0.872226652  4.661416e-02  1.01950855 1.00  4646
eps.phi[3, 15]   0.204416507 0.644708720 -1.018725489  1.892503e-01  1.52873417 1.00  6420
eps.phi[4, 15]   0.128770661 0.462553012 -0.767794455  1.146610e-01  1.07134312 1.00  5305
eps.phi[1, 16]  -0.158524460 0.402984252 -0.949846368 -1.628143e-01  0.63955117 1.00  3786
eps.phi[2, 16]   0.238174819 0.501231649 -0.711818502  2.266469e-01  1.26146600 1.00  5704
eps.phi[3, 16]   0.027876731 0.520698530 -0.961549985  1.859221e-02  1.06676800 1.00  5105
eps.phi[4, 16]   0.428438049 0.512553306 -0.514660357  4.032061e-01  1.49420263 1.00  4763
eps.phi[1, 17]  -0.061823459 0.450101814 -0.919326850 -7.823924e-02  0.87793399 1.00  3376
eps.phi[2, 17]  -0.305041942 0.483134226 -1.245145242 -3.104513e-01  0.65636270 1.00  3098
eps.phi[3, 17]   0.601710315 0.615939104 -0.511833362  5.671965e-01  1.92631443 1.00  3495
eps.phi[4, 17]   0.426792846 0.543148708 -0.608885246  4.099664e-01  1.54176346 1.00  4437
mean.R[1, 1]     0.431513391 0.278190408  0.028554791  3.866812e-01  0.96545562 1.01  3227
mean.R[2, 1]     0.339237169 0.264217285  0.013929093  2.681545e-01  0.93188448 1.01  2299
mean.R[3, 1]     0.422389891 0.277670747  0.029852180  3.723643e-01  0.96365225 1.01  4027
mean.R[4, 1]     0.256273330 0.221249933  0.019776771  1.790566e-01  0.84422297 1.01  2456
mean.R[1, 2]     0.186260463 0.151668166  0.008988135  1.482507e-01  0.58085979 1.01  2793
mean.R[2, 2]     0.139324578 0.126033385  0.005564588  1.038325e-01  0.48021093 1.00  2937
mean.R[3, 2]     0.175277632 0.141845490  0.007754117  1.421124e-01  0.54057172 1.00  3429
mean.R[4, 2]     0.076239116 0.069513890  0.003223628  5.787738e-02  0.25879639 1.01  4083
mean.R[1, 3]     0.144911741 0.115983883  0.011390910  1.146768e-01  0.43861566 1.03  2577
mean.R[2, 3]     0.102665001 0.090872800  0.006226935  7.614190e-02  0.34341346 1.01  2325
mean.R[3, 3]     0.134195464 0.104184438  0.010838228  1.076552e-01  0.39907748 1.03  1838
mean.R[4, 3]     0.056508527 0.049834160  0.003381048  4.286711e-02  0.18703333 1.03  2400
mean.R[1, 4]     0.129663056 0.110999854  0.008858860  9.764061e-02  0.42365250 1.05  1511
mean.R[2, 4]     0.058405121 0.059879961  0.002797772  3.898067e-02  0.22204851 1.03  1513
mean.R[3, 4]     0.137237728 0.125072065  0.006521049  9.773782e-02  0.46578404 1.05  1454
mean.R[4, 4]     0.043939069 0.043648873  0.002259693  2.954095e-02  0.16211525 1.08   998
mean.R[1, 5]     0.209227926 0.229425862  0.003264119  1.161394e-01  0.82034303 1.00  1755
mean.R[2, 5]     0.474538889 0.226891051  0.090691459  4.646377e-01  0.90369630 1.00  4956
mean.R[3, 5]     0.145534703 0.168254484  0.003536308  8.131062e-02  0.64070050 1.01  3926
mean.R[4, 5]     0.126438509 0.121637790  0.008287636  8.750506e-02  0.46540221 1.01  3778
mean.R[1, 6]     0.101871908 0.140629312  0.001152763  4.562299e-02  0.53465078 1.01  1854
mean.R[2, 6]     0.248022473 0.201666420  0.011757841  1.939320e-01  0.74484639 1.02  2194
mean.R[3, 6]     0.051105644 0.053983065  0.001905476  3.363108e-02  0.19924583 1.01  4207
mean.R[4, 6]     0.042075579 0.039229667  0.002944778  3.012656e-02  0.14815162 1.02  4250
mean.R[1, 7]     0.112949140 0.148965405  0.001462442  5.344022e-02  0.55859724 1.01  2156
mean.R[2, 7]     0.305229617 0.215173773  0.020930062  2.618445e-01  0.78919897 1.02  2837
mean.R[3, 7]     0.077615174 0.108781158  0.001287116  3.742625e-02  0.40363570 1.01  4792
mean.R[4, 7]     0.063288054 0.075794460  0.002681513  3.750809e-02  0.27323786 1.00  4506
mean.R[1, 8]     0.276200068 0.158291664  0.053769639  2.457875e-01  0.64895012 1.00  1912
mean.R[2, 8]     0.254929491 0.124257594  0.070033097  2.365808e-01  0.54245847 1.00  3524
mean.R[3, 8]     0.240493935 0.111271847  0.073825521  2.240298e-01  0.49866063 1.00  4599
mean.R[4, 8]     0.126818801 0.073450287  0.028445093  1.115035e-01  0.31080587 1.00  3880
mean.R[1, 9]     0.293209629 0.155312578  0.064440615  2.677051e-01  0.64859913 1.00  2386
mean.R[2, 9]     0.230265581 0.120499317  0.059048743  2.093172e-01  0.52062339 1.01  3706
mean.R[3, 9]     0.264970504 0.114616823  0.087371619  2.495545e-01  0.52798860 1.00  5713
mean.R[4, 9]     0.129625031 0.075735121  0.029229929  1.141173e-01  0.32593144 1.00  3935
mean.R[1, 10]    0.343243182 0.210054719  0.049869759  3.014926e-01  0.81042048 1.00  1635
mean.R[2, 10]    0.369635553 0.188986351  0.083750208  3.397523e-01  0.78737682 1.01  2887
mean.R[3, 10]    0.299876328 0.163116638  0.071183912  2.682194e-01  0.68891612 1.01  2904
mean.R[4, 10]    0.190065678 0.142563603  0.028818015  1.479803e-01  0.57663809 1.01  2380
mean.R[1, 11]    0.285564965 0.175800090  0.035640755  2.554178e-01  0.68692017 1.00  4214
mean.R[2, 11]    0.115774208 0.126242696  0.004635472  7.210050e-02  0.48155204 1.01  3060
mean.R[3, 11]    0.313086812 0.218289456  0.020156182  2.680032e-01  0.80056592 1.00  3818
mean.R[4, 11]    0.106552519 0.096784987  0.006556012  7.802397e-02  0.36600414 1.00  4164
mean.R[1, 12]    0.238848543 0.185045264  0.010824151  1.953416e-01  0.68827295 1.01  2468
mean.R[2, 12]    0.091493251 0.104598558  0.002190682  5.449333e-02  0.38716054 1.00  2839
mean.R[3, 12]    0.251186674 0.196440760  0.010153139  2.038544e-01  0.71493815 1.02  2799
mean.R[4, 12]    0.080332889 0.075603836  0.002675376  5.835656e-02  0.28026095 1.02  2483
mean.R[1, 13]    0.705402020 0.224309769  0.215342136  7.540609e-01  0.99132809 1.07   628
mean.R[2, 13]    0.493638243 0.278711876  0.059096557  4.760412e-01  0.97374208 1.07   765
mean.R[3, 13]    0.708499217 0.225897901  0.213347240  7.596654e-01  0.99144750 1.05   883
mean.R[4, 13]    0.472513076 0.250832324  0.087285482  4.463231e-01  0.95410785 1.06   650
mean.R[1, 14]    0.268892855 0.158468753  0.046236977  2.395532e-01  0.63767398 1.00  3987
mean.R[2, 14]    0.129633729 0.115454935  0.010462467  9.505221e-02  0.45059223 1.00  2888
mean.R[3, 14]    0.276434170 0.172219073  0.037498487  2.454698e-01  0.67952266 1.01  4568
mean.R[4, 14]    0.098057813 0.070770909  0.012719620  8.130790e-02  0.28076311 1.01  4303
mean.R[1, 15]    0.307774956 0.188961301  0.038451603  2.732322e-01  0.74459289 1.00  2995
mean.R[2, 15]    0.185390332 0.149135848  0.014425324  1.436372e-01  0.57245658 1.01  2886
mean.R[3, 15]    0.306931317 0.195262906  0.031935944  2.710118e-01  0.75572006 1.00  3628
mean.R[4, 15]    0.133976720 0.112690772  0.010758638  1.040921e-01  0.44042329 1.01  3800
mean.R[1, 16]    0.294118439 0.186203392  0.039302175  2.580713e-01  0.74825693 1.00  2366
mean.R[2, 16]    0.189511733 0.154736142  0.015164920  1.453075e-01  0.60575415 1.01  2364
mean.R[3, 16]    0.287661668 0.178770539  0.034086619  2.575911e-01  0.71023492 1.00  2899
mean.R[4, 16]    0.131140649 0.117113893  0.011059002  9.736575e-02  0.46202396 1.01  2586
mean.R[1, 17]    0.321402178 0.256418477  0.010076301  2.571935e-01  0.91086039 1.01  1376
mean.R[2, 17]    0.219113735 0.217000508  0.004058649  1.454728e-01  0.81991912 1.01  1611
mean.R[3, 17]    0.316616405 0.258476522  0.009533548  2.444689e-01  0.91949737 1.00  1788
mean.R[4, 17]    0.157456960 0.173671491  0.003938709  9.763939e-02  0.68186699 1.01  1446
mean.p[1]        0.990721049 0.002846936  0.984284402  9.910133e-01  0.99538779 1.00  5156
mean.p[2]        0.990720176 0.003145202  0.983550513  9.910671e-01  0.99575288 1.00  4352
mean.p[3]        0.990675920 0.003179120  0.983350112  9.910454e-01  0.99570312 1.00  4007
mean.p[4]        0.990715369 0.003111546  0.983576371  9.911014e-01  0.99565385 1.00  4729
mean.p[5]        0.990566048 0.003183839  0.983237352  9.909321e-01  0.99559501 1.01  3819
mean.p[6]        0.990795699 0.003063608  0.983791772  9.911275e-01  0.99572122 1.01  4520
mean.p[7]        0.990372125 0.003390820  0.982673600  9.908381e-01  0.99548813 1.01  3164
mean.p[8]        0.990613585 0.003229098  0.983413792  9.910101e-01  0.99562748 1.00  4207
mean.p[9]        0.990604841 0.003188797  0.983398165  9.910087e-01  0.99560610 1.01  4033
mean.p[10]       0.990745755 0.003194864  0.983463903  9.911297e-01  0.99576291 1.00  3839
mean.p[11]       0.990739073 0.003115383  0.983587557  9.911126e-01  0.99568705 1.00  4441
mean.p[12]       0.990747459 0.003143305  0.983686828  9.911012e-01  0.99568681 1.01  4281
mean.p[13]       0.990838890 0.003097733  0.983829806  9.911738e-01  0.99585467 1.00  4255
mean.p[14]       0.990756569 0.003125332  0.983599135  9.911537e-01  0.99568120 1.00  4459
mean.p[15]       0.990797118 0.003120640  0.983712515  9.911519e-01  0.99573747 1.00  4139
mean.p[16]       0.990611658 0.003159395  0.983416117  9.909902e-01  0.99556218 1.00  4288
mean.p[17]       0.990669267 0.003136929  0.983470967  9.910480e-01  0.99562710 1.00  4420
mean.p[18]       0.990548783 0.003398023  0.982843814  9.909727e-01  0.99566147 1.02  3200
mean.phi[1, 1]   0.907912575 0.054022928  0.774639364  9.184922e-01  0.98094334 1.00  6778
mean.phi[2, 1]   0.923999808 0.053149338  0.784047259  9.366519e-01  0.98606312 1.00  6350
mean.phi[3, 1]   0.916104682 0.055748069  0.773178510  9.283051e-01  0.98572753 1.00  6290
mean.phi[4, 1]   0.821413260 0.076954402  0.646773586  8.299261e-01  0.94519652 1.00  4065
mean.phi[1, 2]   0.832027013 0.071295902  0.664537173  8.424676e-01  0.93957091 1.00  6291
mean.phi[2, 2]   0.923282647 0.041650166  0.819980850  9.315341e-01  0.97962017 1.00  6283
mean.phi[3, 2]   0.920318634 0.047185660  0.803848828  9.297721e-01  0.98226983 1.00  5718
mean.phi[4, 2]   0.632895649 0.096603291  0.431528165  6.367783e-01  0.80727636 1.00  6891
mean.phi[1, 3]   0.888350942 0.044553916  0.785937860  8.948333e-01  0.95719066 1.00  7189
mean.phi[2, 3]   0.953814074 0.025858703  0.890374795  9.585206e-01  0.98958640 1.00  5425
mean.phi[3, 3]   0.859801256 0.071675755  0.681183380  8.736518e-01  0.95769022 1.00  6639
mean.phi[4, 3]   0.683483068 0.093837937  0.482346623  6.902827e-01  0.84380316 1.00  6830
mean.phi[1, 4]   0.913416714 0.036648891  0.828547359  9.184557e-01  0.96964883 1.00  6105
mean.phi[2, 4]   0.894628341 0.043206624  0.793372386  9.010236e-01  0.96052159 1.00  7196
mean.phi[3, 4]   0.933688143 0.039149981  0.836268688  9.418490e-01  0.98605010 1.00  5561
mean.phi[4, 4]   0.708674711 0.093632988  0.504316221  7.165577e-01  0.86931022 1.00  6731
