Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.06 
Min n.eff:                        0 


Model summary 
============= 
                        mean          sd         2.5%           50%       97.5% Rhat n.eff
betaVR.R[1]      0.378991498 0.564101386 -0.617283931  3.438035e-01  1.59510723 1.00  3282
eps.phi[4, 11]   0.623273872 0.547955588 -0.366152781  5.962548e-01  1.76976591 1.01  3780
eps.phi[1, 12]  -0.287257344 0.466888317 -1.226260049 -2.822078e-01  0.61611958 1.00  3616
eps.phi[2, 12]  -0.089803820 0.504961368 -1.088032840 -9.183007e-02  0.89579864 1.00  4442
eps.phi[3, 12]   0.109766820 0.568964740 -0.982913459  1.032554e-01  1.23462875 1.00  6126
eps.phi[4, 12]  -0.029145795 0.417225509 -0.832284795 -3.552076e-02  0.79762696 1.00  3255
eps.phi[1, 13]  -0.701973735 0.428500233 -1.545267340 -6.980685e-01  0.11705394 1.00  2661
eps.phi[2, 13]   0.134863358 0.519993298 -0.888438194  1.220123e-01  1.19347503 1.00  4528
eps.phi[3, 13]  -0.089812221 0.595528358 -1.264835232 -9.239151e-02  1.11737118 1.00  6407
eps.phi[4, 13]   0.122273344 0.414682473 -0.681960439  1.153320e-01  0.96852334 1.00  3667
eps.phi[1, 14]   0.340943028 0.504780865 -0.591363967  3.172726e-01  1.40170260 1.00  5025
eps.phi[2, 14]   0.179726362 0.508710980 -0.806076874  1.641944e-01  1.22440571 1.00  5245
eps.phi[3, 14]  -0.046212861 0.596716567 -1.229293746 -5.261494e-02  1.16381948 1.00  6183
eps.phi[4, 14]  -0.567532927 0.420403907 -1.391609664 -5.616831e-01  0.24417327 1.00  3375
eps.phi[1, 15]   0.199800085 0.441589530 -0.647101758  1.858569e-01  1.10909314 1.00  4803
eps.phi[2, 15]   0.038532109 0.470313110 -0.855978350  3.049321e-02  0.99347675 1.00  4634
eps.phi[3, 15]   0.194395568 0.636509204 -1.023869700  1.743576e-01  1.50084526 1.00  6391
eps.phi[4, 15]   0.122416223 0.455743912 -0.728023515  1.151777e-01  1.05579072 1.00  5833
eps.phi[1, 16]  -0.148012049 0.400627292 -0.927546572 -1.481507e-01  0.65685792 1.00  3871
eps.phi[2, 16]   0.240824176 0.500917221 -0.692825169  2.188266e-01  1.27542804 1.00  5410
eps.phi[3, 16]   0.047693522 0.514224966 -0.978904173  4.370041e-02  1.08754582 1.00  5622
eps.phi[4, 16]   0.418952859 0.506080541 -0.540282493  4.020348e-01  1.48148071 1.00  5390
eps.phi[1, 17]  -0.041419114 0.438299190 -0.886709590 -3.921882e-02  0.83557162 1.00  3431
eps.phi[2, 17]  -0.306917807 0.476891032 -1.249338534 -3.102715e-01  0.63901859 1.00  3684
eps.phi[3, 17]   0.603040381 0.589916760 -0.459254928  5.705388e-01  1.86701333 1.00  3565
eps.phi[4, 17]   0.423367112 0.531435108 -0.575592844  4.005739e-01  1.54026956 1.00  4908
