eps.phi[1, 12]   0.0374687912 0.18470676 -0.3174726736  0.0144928732  0.47531682 1.01  3573
eps.phi[2, 12]   0.0177216653 0.18979374 -0.3609475233  0.0065140326  0.44565200 1.01  3522
eps.phi[3, 12]  -0.0210731596 0.20157468 -0.4755237117 -0.0080960424  0.37653543 1.01  2709
eps.phi[4, 12]   0.0360198686 0.19699081 -0.3207010398  0.0110985825  0.51928882 1.00  2599
eps.phi[1, 13]  -0.0503875467 0.17757134 -0.4694928111 -0.0247998697  0.28549315 1.02  3793
eps.phi[2, 13]  -0.0337041828 0.19457226 -0.5033297164 -0.0121362426  0.33397766 1.02  3021
eps.phi[3, 13]   0.0113331420 0.19995561 -0.4025295721  0.0049392302  0.46091796 1.01  3245
eps.phi[4, 13]   0.1085376377 0.23001258 -0.2144296870  0.0518987147  0.71486044 1.01   531
eps.phi[1, 14]   0.0128891018 0.17550783 -0.3245440496  0.0012263006  0.41072376 1.01  3668
eps.phi[2, 14]  -0.0148632408 0.18704432 -0.4424473415 -0.0038740458  0.36777700 1.01  3009
eps.phi[3, 14]   0.0192045979 0.20520892 -0.3711548906  0.0018561541  0.50296079 1.01  3624
eps.phi[4, 14]  -0.0212394575 0.19589140 -0.4821258131 -0.0067181332  0.37411714 1.01  4087
eps.phi[1, 15]   0.0595602842 0.20072810 -0.2876776952  0.0244969496  0.55181516 1.02  2040
eps.phi[2, 15]  -0.0335458018 0.18735545 -0.4777701414 -0.0087850150  0.31254404 1.01  2135
eps.phi[3, 15]   0.0087311194 0.19988639 -0.4066380490  0.0040513792  0.43183329 1.02  3636
eps.phi[4, 15]  -0.0364818193 0.19203695 -0.4893203731 -0.0120449242  0.32608899 1.01  2951
eps.phi[1, 16]  -0.0770923807 0.18371083 -0.5314543527 -0.0392970262  0.22473537 1.02  1353
eps.phi[2, 16]   0.0322730737 0.18689485 -0.3188467174  0.0099998517  0.46249063 1.01  3788
eps.phi[3, 16]  -0.0675024447 0.20429329 -0.5906706860 -0.0295929388  0.27801768 1.01  1586
eps.phi[4, 16]   0.0152995216 0.20507599 -0.3976398925  0.0040878287  0.47656267 1.01  3450
eps.phi[1, 17]  -0.0358007370 0.20240177 -0.5217063648 -0.0115493736  0.35501658 1.01  2490
eps.phi[2, 17]  -0.0353307641 0.20220650 -0.5120893782 -0.0120245366  0.35075552 1.01  2857
eps.phi[3, 17]  -0.0262594569 0.20456739 -0.5022559018 -0.0092121405  0.38492294 1.01  3190
eps.phi[4, 17]   0.0001902895 0.21012578 -0.4593497614  0.0010279914  0.43695424 1.02  4416
mean.R[1, 1]     0.6581146111 0.26573761  0.0857023983  0.7133755988  0.99405518 1.00  2895
mean.R[2, 1]     0.4854769261 0.27863250  0.0399737735  0.4664247247  0.97844121 1.00  2941
mean.R[3, 1]     0.5471411768 0.27151297  0.0652541719  0.5495282076  0.98270847 1.00  4377
