Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.43 
Min n.eff:                        0 


Model summary 
============= 
                        mean         sd          2.5%          50%       97.5% Rhat n.eff
betaD.R[1]      -0.563261228 0.49321675 -1.5475749728 -0.557653346  0.38305060 1.00   975
mean.R[5, 5]     0.576236883 0.18110554  0.2097368401  0.590209297  0.88050821 1.00  3847
mean.R[6, 5]     0.211589755 0.16009483  0.0198566817  0.170312762  0.61553660 1.00  3522
mean.R[1, 6]     0.040465322 0.02340509  0.0097712690  0.035636664  0.10011330 1.01  1510
mean.R[2, 6]     0.173925120 0.10247366  0.0358688414  0.152317765  0.42410079 1.00  2057
mean.R[3, 6]     0.292469964 0.16746584  0.0533300306  0.264672667  0.67859428 1.00  2007
mean.R[4, 6]     0.238443493 0.08490329  0.1003243651  0.229601786  0.42762301 1.00  6932
mean.R[5, 6]     0.515765149 0.16264919  0.2053491105  0.519218775  0.81374532 1.00  4128
mean.R[6, 6]     0.178959747 0.13080617  0.0211420451  0.145840608  0.51024629 1.00  3608
mean.R[1, 7]     0.031918910 0.01723492  0.0081973569  0.028707944  0.07398330 1.00  1783
mean.R[2, 7]     0.158798103 0.09384834  0.0322329503  0.139374282  0.39368269 1.01  1989
mean.R[3, 7]     0.252289286 0.15452618  0.0394825870  0.222482056  0.61774904 1.01  2168
mean.R[4, 7]     0.173458865 0.07265222  0.0560839839  0.165155464  0.33742102 1.02  3294
mean.R[5, 7]     0.459047545 0.16554013  0.1507402394  0.457380116  0.77793461 1.02  3142
mean.R[6, 7]     0.196279743 0.13522091  0.0254900082  0.165544115  0.53469409 1.00  3663
mean.R[1, 8]     0.067326810 0.02933855  0.0245118938  0.062619630  0.13859279 1.02  3506
mean.R[2, 8]     0.163947563 0.06327237  0.0653672441  0.155595340  0.31082517 1.00  4718
mean.R[3, 8]     0.190269864 0.09195058  0.0526804338  0.175974077  0.40506450 1.00  4543
mean.R[4, 8]     0.104496159 0.04603400  0.0367936502  0.096976549  0.21271652 1.01  5286
mean.R[5, 8]     0.269777113 0.09590679  0.1097309100  0.260763549  0.48023871 1.00  6923
mean.R[6, 8]     0.119103908 0.06831684  0.0254783129  0.106448792  0.28610180 1.00  5678
mean.R[1, 9]     0.069393280 0.02898767  0.0253009202  0.065069337  0.13715366 1.01  4267
mean.R[2, 9]     0.163011062 0.06368396  0.0621125847  0.154928558  0.30976017 1.00  5725
mean.R[3, 9]     0.181879929 0.08941665  0.0488070828  0.167527200  0.38993802 1.00  5086
mean.R[4, 9]     0.095627145 0.04350624  0.0314304817  0.088727116  0.19768014 1.00  6106
mean.R[5, 9]     0.249646060 0.09289358  0.0974007287  0.240118499  0.45403493 1.00  8153
mean.R[6, 9]     0.115945834 0.06787602  0.0238064707  0.103033004  0.28282763 1.00  6322
mean.R[1, 10]    0.057500186 0.02487594  0.0203797390  0.053766241  0.11517332 1.01  4232
mean.R[2, 10]    0.157120609 0.06410664  0.0563142107  0.148586313  0.30588676 1.01  4240
mean.R[3, 10]    0.188315468 0.09684300  0.0472204526  0.172188414  0.41297363 1.00  4314
mean.R[4, 10]    0.103007626 0.04706932  0.0332156624  0.095635060  0.21440241 1.00  6562
mean.R[5, 10]    0.278736063 0.10392283  0.1058635586  0.269295952  0.50313288 1.00  7200
mean.R[6, 10]    0.128064844 0.07669346  0.0245547414  0.113097198  0.31662145 1.00  6143
mean.R[1, 11]    0.095572031 0.05238040  0.0272289532  0.084563963  0.22720943 1.04  1457
mean.R[2, 11]    0.179357173 0.07747273  0.0641437826  0.167516360  0.36337419 1.01  3508
mean.R[3, 11]    0.175568873 0.09330172  0.0416461795  0.159312146  0.39687202 1.01  5739
mean.R[4, 11]    0.084337313 0.05117742  0.0204848586  0.073186142  0.21263504 1.03  3840
mean.R[5, 11]    0.211707268 0.09799690  0.0656606007  0.196349717  0.43871180 1.02  4453
mean.R[6, 11]    0.114713420 0.07529459  0.0195823408  0.097755652  0.30659560 1.02  5130
mean.R[1, 12]    0.086172797 0.04121646  0.0263388757  0.079324634  0.18498678 1.00  2583
mean.R[2, 12]    0.157701262 0.06515196  0.0556359381  0.149264806  0.30673382 1.01  4102
mean.R[3, 12]    0.155186205 0.08134007  0.0375327267  0.141617219  0.34958556 1.00  4926
mean.R[4, 12]    0.074002293 0.03991536  0.0190968382  0.066591809  0.17032601 1.00  4930
mean.R[5, 12]    0.184006554 0.08172744  0.0582802633  0.172222112  0.37082875 1.00  6614
mean.R[6, 12]    0.091135715 0.05656287  0.0169836160  0.079221323  0.23165317 1.00  6253
mean.R[1, 13]    0.112883164 0.05048868  0.0416353108  0.104123565  0.23690110 1.04  1318
mean.R[2, 13]    0.170880216 0.06234579  0.0759767102  0.161826223  0.32043377 1.03  2391
mean.R[3, 13]    0.168738936 0.07432077  0.0552663119  0.157361064  0.34408085 1.02  4351
mean.R[4, 13]    0.090413267 0.04544942  0.0279607070  0.081783962  0.20367921 1.03  2714
mean.R[5, 13]    0.191621814 0.07991189  0.0729271752  0.179152817  0.37931205 1.02  3215
mean.R[6, 13]    0.075928595 0.04504048  0.0166222356  0.066412622  0.18699643 1.02  4597
mean.R[1, 14]    0.085658117 0.03865240  0.0275723690  0.079812906  0.17655568 1.00  2534
mean.R[2, 14]    0.154284851 0.05928544  0.0574474505  0.147712490  0.28747219 1.01  3896
mean.R[3, 14]    0.155683162 0.07394905  0.0429779018  0.145214355  0.32670076 1.00  5130
mean.R[4, 14]    0.078486861 0.03853436  0.0229161891  0.071956308  0.17089481 1.00  4227
mean.R[5, 14]    0.188035253 0.07615904  0.0662297252  0.179245867  0.35951375 1.00  5656
mean.R[6, 14]    0.083366051 0.04843633  0.0172323140  0.073931854  0.20130990 1.00  5767
mean.R[1, 15]    0.075005465 0.03470720  0.0242736391  0.069330555  0.15697174 1.00  3347
mean.R[2, 15]    0.158936657 0.06419064  0.0579071321  0.150988508  0.30458586 1.00  6135
mean.R[3, 15]    0.166921344 0.08537969  0.0414268492  0.152540534  0.36804461 1.00  5458
mean.R[4, 15]    0.082886600 0.04176485  0.0236512345  0.075607763  0.18402687 1.00  5905
mean.R[5, 15]    0.216063836 0.09086784  0.0743199093  0.204446736  0.42113092 1.00  7297
mean.R[6, 15]    0.105385079 0.06363669  0.0202039371  0.092751754  0.26084871 1.00  6983
mean.R[1, 16]    0.076505709 0.03347965  0.0256371464  0.071623208  0.15462639 1.00  2993
mean.R[2, 16]    0.156679790 0.05844539  0.0610334237  0.150183216  0.28732065 1.01  5509
mean.R[3, 16]    0.166878081 0.08038331  0.0450653278  0.155421502  0.35521811 1.00  5277
mean.R[4, 16]    0.085693876 0.04034660  0.0267544514  0.079388512  0.18104666 1.00  5219
mean.R[5, 16]    0.215237329 0.08214627  0.0801964143  0.206817623  0.39444001 1.00  6683
mean.R[6, 16]    0.097828824 0.05685648  0.0196608939  0.087164356  0.23457203 1.00  6056
mean.R[1, 17]    0.153479447 0.12095596  0.0290075989  0.118752269  0.50022988 1.00  1750
mean.R[2, 17]    0.147747931 0.07601259  0.0366839158  0.136397899  0.32620637 1.01  2682
mean.R[3, 17]    0.128657165 0.08094525  0.0204878672  0.112776615  0.32771323 1.01  3392
mean.R[4, 17]    0.060572495 0.04179693  0.0074353108  0.051619312  0.16517248 1.01  3685
mean.R[5, 17]    0.122788843 0.08720792  0.0101119620  0.104444246  0.33328406 1.01  3372
mean.R[6, 17]    0.055982649 0.05084672  0.0033631535  0.041992066  0.18715830 1.00  4313
mean.p[1]        0.932170575 0.05720956  0.7829152526  0.947321109  0.98934185 1.00  9984
mean.p[2]        0.957155442 0.02732945  0.8881275796  0.963337280  0.99168498 1.00  6019
mean.p[3]        0.965685047 0.02067186  0.9145736761  0.969766364  0.99292643 1.00  5409
mean.p[4]        0.972634154 0.01583501  0.9338578168  0.975667511  0.99437721 1.00  4141
mean.p[5]        0.964308280 0.01834785  0.9200477555  0.967537968  0.99049527 1.00  5994
mean.p[6]        0.973714447 0.01505667  0.9372008431  0.976669349  0.99433019 1.00  4389
mean.p[7]        0.970579388 0.01703241  0.9290501269  0.973651356  0.99385568 1.00  4500
mean.p[8]        0.959704463 0.02127509  0.9082004155  0.963507911  0.98982125 1.00  5723
mean.p[9]        0.968003130 0.01925642  0.9200991217  0.971952628  0.99350466 1.00  5205
mean.p[10]       0.962944464 0.01918049  0.9165838896  0.966428578  0.98998243 1.00  6339
mean.p[11]       0.956435045 0.02076128  0.9064298230  0.959810348  0.98676255 1.00  6224
mean.p[12]       0.933180083 0.02774131  0.8671306666  0.937491896  0.97466815 1.00  6882
mean.p[13]       0.909782281 0.03101707  0.8385892378  0.913643824  0.95938976 1.00  6404
mean.p[14]       0.764943167 0.05474532  0.6500965586  0.767920250  0.86307367 1.00  4009
mean.p[15]       0.923182610 0.02936586  0.8538111767  0.927128233  0.96878687 1.00  7308
mean.p[16]       0.952993744 0.01962189  0.9072632248  0.955702521  0.98329058 1.00  7274
mean.p[17]       0.951019750 0.02110983  0.9012622282  0.954275794  0.98309899 1.00  7102
mean.p[18]       0.856699015 0.07284475  0.6999994754  0.863956892  0.96983597 1.01  1131
mean.phi[1, 1]   0.551550328 0.13512552  0.2877098517  0.551991237  0.80951978 1.00  3684
mean.phi[2, 1]   0.784018966 0.09129726  0.5724202229  0.795034071  0.93013859 1.00  3950
