Information and diagnostics 
=========================== 
Total iter:                       5000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.07 
Min n.eff:                        0 


Model summary 
============= 
                   mean          sd        2.5%         50%       97.5% Rhat n.eff
mean.rR[9]   0.71555162 0.116352541  0.46210719  0.72512277  0.90701046 1.01  3356
mean.rR[10]  0.69667935 0.120211497  0.43627125  0.70811621  0.90220770 1.00  3508
mean.rR[11]  0.63658885 0.139175728  0.34752065  0.64763105  0.87921576 1.00  3234
mean.rR[12]  0.55618343 0.159861072  0.23978741  0.55849370  0.84774575 1.00  3464
mean.rR[13]  0.50190726 0.165679850  0.17924430  0.50215081  0.81311495 1.00  3701
mean.rR[14]  0.66852765 0.130881556  0.39397254  0.67941420  0.89410484 1.00  3161
mean.rR[15]  0.60269789 0.147084138  0.29641526  0.60933307  0.86354927 1.00  3337
mean.rR[16]  0.55676643 0.155684469  0.24626572  0.55997676  0.83785999 1.00  3426
mean.rR[17]  0.45391166 0.164703305  0.16472532  0.44975870  0.77811404 1.00  3126
mu.juv       0.96899142 0.016141723  0.92921220  0.97211340  0.99091111 1.00  1635
mu.pre       0.93742188 0.020690511  0.88975558  0.93957933  0.97185730 1.03   641
mu.pri       0.97483756 0.010535924  0.94990348  0.97672727  0.98995441 1.01   594
mu.sen       0.79363464 0.050752894  0.67759965  0.79962571  0.87760180 1.04   445
mu.sub       0.97065556 0.012448047  0.94062337  0.97243464  0.98927875 1.01   974
sigma.phi    1.13511778 0.210467155  0.76470082  1.11728634  1.59517614 1.07   334
win[1]      -0.57400000 0.000000000 -0.57400000 -0.57400000 -0.57400000  NaN     0
win[2]       0.59000000 0.000000000  0.59000000  0.59000000  0.59000000  NaN     0
win[3]       0.84900000 0.000000000  0.84900000  0.84900000  0.84900000  NaN     0
win[4]       1.10800000 0.000000000  1.10800000  1.10800000  1.10800000  NaN     0
win[5]      -0.18600000 0.000000000 -0.18600000 -0.18600000 -0.18600000  NaN     0
win[6]      -1.22100000 0.000000000 -1.22100000 -1.22100000 -1.22100000  NaN     0
win[7]      -0.96200000 0.000000000 -0.96200000 -0.96200000 -0.96200000  NaN     0
win[8]      -0.18600000 0.000000000 -0.18600000 -0.18600000 -0.18600000  NaN     0
win[9]       2.01400000 0.000000000  2.01400000  2.01400000  2.01400000  NaN     0
win[10]     -0.18600000 0.000000000 -0.18600000 -0.18600000 -0.18600000  NaN     0
win[11]     -0.70400000 0.000000000 -0.70400000 -0.70400000 -0.70400000  NaN     0
win[12]      0.07300000 0.000000000  0.07300000  0.07300000  0.07300000  NaN     0
win[13]      0.46100000 0.000000000  0.46100000  0.46100000  0.46100000  NaN     0
win[14]      0.46100000 0.000000000  0.46100000  0.46100000  0.46100000  NaN     0
win[15]      0.59000000 0.000000000  0.59000000  0.59000000  0.59000000  NaN     0
win[16]     -2.12700000 0.000000000 -2.12700000 -2.12700000 -2.12700000  NaN     0
win[17]     -0.01372781 1.004739863 -2.00872779 -0.01084724  1.93198121 1.00 15349
