Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.02 
Min n.eff:                        0 


Model summary 
============= 
                        mean          sd          2.5%          50%        97.5% Rhat n.eff
mean.R[3, 9]     0.102640789 0.052264860  0.0269301575  0.094180320  0.227942456 1.00  4450
mean.R[4, 9]     0.141677384 0.052477321  0.0562320893  0.136177656  0.257106457 1.00  5027
mean.R[5, 9]     0.282589301 0.073723423  0.1499939696  0.279063553  0.439525459 1.00  5505
mean.R[6, 9]     0.109801711 0.036469954  0.0510807765  0.105649297  0.191490890 1.00  5073
mean.R[1, 10]    0.023480998 0.018248193  0.0022103164  0.019019627  0.071215748 1.00  3557
mean.R[2, 10]    0.126539764 0.070201536  0.0277796536  0.114551554  0.295068335 1.00  3804
mean.R[3, 10]    0.106370283 0.062042279  0.0213422814  0.094774805  0.255474682 1.00  4240
mean.R[4, 10]    0.182882333 0.060715093  0.0815678478  0.177219017  0.315108208 1.00  5969
mean.R[5, 10]    0.241572385 0.070289959  0.1196772676  0.235789834  0.391652208 1.00  5475
mean.R[6, 10]    0.110349948 0.040755041  0.0454671857  0.105389642  0.204930554 1.00  4508
mean.R[1, 11]    0.028763447 0.028589056  0.0015181876  0.020089128  0.108338739 1.00  5229
mean.R[2, 11]    0.231925384 0.112727669  0.0607555223  0.214936289  0.491780381 1.00  8097
mean.R[3, 11]    0.110628355 0.070818451  0.0188615491  0.095805832  0.285985780 1.00  7311
mean.R[4, 11]    0.082128025 0.049971878  0.0170636697  0.071608630  0.205678655 1.00  4685
mean.R[5, 11]    0.399268283 0.154955879  0.1307244443  0.391290519  0.721847097 1.00  5231
mean.R[6, 11]    0.117157922 0.054509104  0.0362168829  0.108844695  0.245067598 1.00  5351
mean.R[1, 12]    0.026505482 0.025521665  0.0015005728  0.018788869  0.096748941 1.00  5100
mean.R[2, 12]    0.215434814 0.104290801  0.0571202587  0.198959573  0.458059773 1.00  8062
mean.R[3, 12]    0.103879226 0.065131697  0.0181329694  0.090755257  0.265799832 1.00  7116
mean.R[4, 12]    0.079922670 0.047294666  0.0166965216  0.070315747  0.196466262 1.00  4689
mean.R[5, 12]    0.378576882 0.148200321  0.1234505382  0.369278590  0.690682618 1.00  4853
mean.R[6, 12]    0.110057090 0.049485793  0.0345476785  0.103120219  0.225686790 1.00  5209
mean.R[1, 13]    0.027410382 0.024584280  0.0018318825  0.020286841  0.094854038 1.01  4707
mean.R[2, 13]    0.213148301 0.094871787  0.0662323980  0.199922361  0.429935399 1.00  6347
mean.R[3, 13]    0.109684806 0.063652599  0.0223773676  0.098038379  0.265587718 1.00  5852
mean.R[4, 13]    0.094390355 0.051993062  0.0234507457  0.084075889  0.219873251 1.00  4339
mean.R[5, 13]    0.378930564 0.134950830  0.1445587306  0.371767364  0.667031264 1.00  5317
mean.R[6, 13]    0.117363239 0.048911803  0.0425095215  0.110430285  0.231402539 1.00  4455
mean.R[1, 14]    0.025659149 0.022050349  0.0018650556  0.019476150  0.084422982 1.00  4507
mean.R[2, 14]    0.196801669 0.083646862  0.0645932276  0.186020118  0.385893989 1.00  8063
mean.R[3, 14]    0.104575666 0.057699703  0.0230824175  0.094859654  0.243597071 1.00  6684
mean.R[4, 14]    0.096105074 0.049528288  0.0250263069  0.087454299  0.214466843 1.00  4620
mean.R[5, 14]    0.358258238 0.123123405  0.1415601017  0.352179920  0.619848766 1.00  5629
mean.R[6, 14]    0.112304451 0.043958471  0.0426020675  0.106564489  0.212499630 1.00  5467
mean.R[1, 15]    0.023916401 0.019206060  0.0020883077  0.018809238  0.073145240 1.00  3794
mean.R[2, 15]    0.172218199 0.068579392  0.0617456741  0.164106591  0.326696385 1.00  6440
mean.R[3, 15]    0.100809283 0.052322014  0.0249678827  0.092102588  0.223731878 1.00  5636
mean.R[4, 15]    0.108133179 0.048948201  0.0336458526  0.101107555  0.221872240 1.00  4635
mean.R[5, 15]    0.325141490 0.102809995  0.1409121737  0.320312155  0.541643393 1.00  4967
mean.R[6, 15]    0.108834870 0.039263915  0.0456484932  0.104304138  0.196977964 1.00  5117
mean.R[1, 16]    0.023294111 0.018311585  0.0020864013  0.018583692  0.070117070 1.00  3695
mean.R[2, 16]    0.163775324 0.064726928  0.0587513015  0.156415335  0.310312665 1.00  5952
mean.R[3, 16]    0.099172641 0.050192397  0.0253150701  0.091613064  0.215156455 1.00  5445
mean.R[4, 16]    0.112473676 0.048692883  0.0364967385  0.105946572  0.223361518 1.00  4626
mean.R[5, 16]    0.312210760 0.094704664  0.1423854934  0.308064414  0.511873097 1.00  4583
mean.R[6, 16]    0.107255226 0.037790428  0.0453989702  0.103311603  0.190369808 1.00  4783
mean.R[1, 17]    0.025745174 0.026906329  0.0015556400  0.018367917  0.091701311 1.00  5558
mean.R[2, 17]    0.181117065 0.106002339  0.0378756718  0.160676507  0.451850909 1.00  6676
mean.R[3, 17]    0.096950444 0.058856475  0.0169975590  0.086129162  0.238268639 1.00  6717
mean.R[4, 17]    0.105039093 0.062640420  0.0147165657  0.095790266  0.248996102 1.00  4465
mean.R[5, 17]    0.339366655 0.154998702  0.1139502800  0.310244235  0.734248963 1.00  4741
mean.R[6, 17]    0.108596701 0.048938752  0.0339466285  0.101896467  0.223012401 1.00  6085
mean.p[1]        0.991350729 0.002868370  0.9849246271  0.991684460  0.995867435 1.01  5764
mean.p[2]        0.991368088 0.002856029  0.9850501779  0.991720770  0.995818447 1.01  4466
mean.p[3]        0.991418984 0.002866815  0.9850865946  0.991747535  0.995863022 1.00  4337
mean.p[4]        0.991442047 0.002769647  0.9852343299  0.991745425  0.995861109 1.00  4783
mean.p[5]        0.991241697 0.002884921  0.9847433159  0.991597579  0.995702789 1.02  4057
mean.p[6]        0.991448121 0.002756746  0.9853469692  0.991781477  0.995792071 1.00  4670
mean.p[7]        0.991174375 0.002909089  0.9845480345  0.991525477  0.995685929 1.01  4315
mean.p[8]        0.991294580 0.002866776  0.9848087602  0.991619491  0.995788241 1.01  4064
mean.p[9]        0.991301882 0.002829635  0.9849150718  0.991610358  0.995766456 1.01  4825
mean.p[10]       0.991495158 0.002765794  0.9852494768  0.991776553  0.995958937 1.00  4243
mean.p[11]       0.991524491 0.002709488  0.9854710580  0.991809670  0.995952962 1.00  4864
mean.p[12]       0.991507392 0.002729290  0.9853726478  0.991770794  0.995984147 1.01  4461
mean.p[13]       0.991504480 0.002702905  0.9854410664  0.991800438  0.995839128 1.01  4790
mean.p[14]       0.991493640 0.002779924  0.9852502284  0.991820373  0.995883416 1.01  4373
mean.p[15]       0.991369409 0.002787763  0.9852065474  0.991680698  0.995814185 1.00  4200
mean.p[16]       0.991363461 0.002783376  0.9850484247  0.991722385  0.995770344 1.00  4542
mean.p[17]       0.991384700 0.002765624  0.9851195549  0.991700875  0.995797016 1.00  4700
mean.p[18]       0.991354558 0.002853443  0.9850336447  0.991683272  0.995865547 1.01  4233
mean.phi[1, 1]   0.823063035 0.089766802  0.6129310164  0.835896389  0.958467455 1.00  5812
mean.phi[2, 1]   0.882975874 0.067014411  0.7146322378  0.895783088  0.972179210 1.00  7463
mean.phi[3, 1]   0.868139681 0.067476427  0.7045960879  0.880221286  0.964231366 1.00  6228
mean.phi[4, 1]   0.919169443 0.047060790  0.8003503670  0.929037819  0.980043749 1.00  6204
mean.phi[5, 1]   0.917823750 0.051219828  0.7890873689  0.928316639  0.983659285 1.00  6003
mean.phi[6, 1]   0.797638984 0.079132551  0.6237064199  0.805893970  0.928855068 1.00  5019
mean.phi[1, 2]   0.807508667 0.067963865  0.6571717710  0.813484655  0.921584780 1.00  4366
mean.phi[2, 2]   0.895061585 0.050165852  0.7737097270  0.903264574  0.968052180 1.00  5993
mean.phi[3, 2]   0.775283594 0.090733613  0.5619705032  0.789497676  0.910912272 1.00  3604
mean.phi[4, 2]   0.917963462 0.038752073  0.8254517007  0.925150417  0.972622950 1.00  6415
mean.phi[5, 2]   0.907451333 0.045372208  0.7989334359  0.915125750  0.972586157 1.00  5848
mean.phi[6, 2]   0.633683756 0.087987429  0.4490044022  0.637392090  0.793810324 1.00  7048
mean.phi[1, 3]   0.702039334 0.080100585  0.5290225825  0.706859787  0.840715726 1.00  7005
mean.phi[2, 3]   0.900590298 0.041823509  0.8040573803  0.906501622  0.965519207 1.00  6448
mean.phi[3, 3]   0.818550741 0.075199523  0.6382543870  0.829847659  0.931987789 1.00  6188
mean.phi[4, 3]   0.941585656 0.027265829  0.8774693295  0.945683604  0.981724910 1.00  5490
mean.phi[5, 3]   0.865744251 0.059804260  0.7221107795  0.876050907  0.952586336 1.00  6329
