Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.14 
Min n.eff:                        0 


Model summary 
============= 
                       mean          sd          2.5%          50%       97.5% Rhat n.eff
betaD.R[1]      -0.03475512 0.741392110 -1.514916e+00 -0.023716417  1.39523719 1.00  4975
mean.R[2, 7]     0.08278836 0.066428275  1.030865e-02  0.064144762  0.26211336 1.00  5242
mean.R[3, 7]     0.17073630 0.118809551  2.200095e-02  0.142838755  0.46505405 1.01  4700
mean.R[4, 7]     0.30837595 0.113880411  1.166571e-01  0.297965748  0.55198538 1.00  6970
mean.R[5, 7]     0.25999435 0.120427042  7.560595e-02  0.243979184  0.53525415 1.00  4004
mean.R[6, 7]     0.14397588 0.076146572  3.626302e-02  0.131197205  0.32485794 1.00  2706
mean.R[1, 8]     0.02388894 0.019273087  2.085306e-03  0.018911317  0.07356305 1.00  4901
mean.R[2, 8]     0.08578032 0.047772130  1.951723e-02  0.076567555  0.20319116 1.00  7899
mean.R[3, 8]     0.14829970 0.078173516  3.371266e-02  0.135027037  0.33414525 1.00  7249
mean.R[4, 8]     0.16947467 0.062929102  6.663049e-02  0.162398507  0.31039556 1.00  8630
mean.R[5, 8]     0.32893920 0.080825799  1.832993e-01  0.324804671  0.49826712 1.00 12294
mean.R[6, 8]     0.12688993 0.045684314  5.398594e-02  0.121425619  0.22996543 1.00  6898
mean.R[1, 9]     0.02413933 0.020093121  1.966484e-03  0.018897412  0.07671418 1.00  5132
mean.R[2, 9]     0.07851718 0.046055676  1.654271e-02  0.068950016  0.19306308 1.00  9039
mean.R[3, 9]     0.15437343 0.082785936  3.414615e-02  0.140259860  0.34829758 1.00  8433
mean.R[4, 9]     0.15997579 0.064178594  5.772010e-02  0.152259779  0.30529230 1.00  8775
mean.R[5, 9]     0.35881184 0.089180362  1.964730e-01  0.354849386  0.54288363 1.00 12765
mean.R[6, 9]     0.12780009 0.047179125  5.265725e-02  0.121935532  0.23515562 1.00  7992
mean.R[1, 10]    0.02479353 0.021011849  1.941555e-03  0.019011775  0.07918727 1.00  5485
mean.R[2, 10]    0.07280324 0.044903342  1.438753e-02  0.062995890  0.18660420 1.00  8859
mean.R[3, 10]    0.16420838 0.091199601  3.423768e-02  0.147882337  0.38039776 1.00  7656
mean.R[4, 10]    0.18499370 0.072770224  6.812660e-02  0.176267616  0.34831531 1.00  9050
mean.R[5, 10]    0.35846713 0.093099920  1.915810e-01  0.353304364  0.55091592 1.00 11649
mean.R[6, 10]    0.13325936 0.051589569  5.300700e-02  0.126371302  0.25029918 1.00  6855
mean.R[1, 11]    0.02645402 0.025211533  1.623084e-03  0.019192840  0.09462753 1.00  5831
mean.R[2, 11]    0.07099708 0.048768652  1.148036e-02  0.059208392  0.19699388 1.00  8594
mean.R[3, 11]    0.17167046 0.099274356  3.343873e-02  0.153477984  0.41243750 1.00  9378
mean.R[4, 11]    0.13452171 0.068493731  3.686388e-02  0.122697801  0.30144188 1.00  8016
mean.R[5, 11]    0.44232842 0.123041434  2.122399e-01  0.438589151  0.68832269 1.00  6941
mean.R[6, 11]    0.13344825 0.057065672  4.611906e-02  0.124894511  0.26620821 1.00  7295
mean.R[1, 12]    0.02437262 0.021687512  1.753091e-03  0.018385240  0.08231373 1.00  5075
mean.R[2, 12]    0.08289937 0.051453977  1.593660e-02  0.071638031  0.21242394 1.00  7972
mean.R[3, 12]    0.14946647 0.082537717  3.190745e-02  0.134994462  0.34760058 1.00  8766
mean.R[4, 12]    0.12515701 0.059487811  3.734599e-02  0.115775788  0.26770341 1.00  7554
mean.R[5, 12]    0.38910035 0.109857751  1.873647e-01  0.383542165  0.61564799 1.01  6160
mean.R[6, 12]    0.12367661 0.050019052  4.552784e-02  0.116674916  0.23872584 1.00  6395
mean.R[1, 13]    0.02235628 0.017753832  2.227379e-03  0.017686167  0.06901486 1.00  3845
mean.R[2, 13]    0.16087438 0.073941096  4.916123e-02  0.150224429  0.33437455 1.00  6017
mean.R[3, 13]    0.10404828 0.054440616  2.614108e-02  0.094636893  0.23400020 1.00  5506
mean.R[4, 13]    0.11243496 0.048211987  3.971851e-02  0.105498095  0.22504932 1.00  4882
mean.R[5, 13]    0.25301443 0.095007538  9.887859e-02  0.242784678  0.46262382 1.00  2868
mean.R[6, 13]    0.10782687 0.041073079  4.242148e-02  0.102617642  0.20384912 1.00  4126
mean.R[1, 14]    0.02325453 0.019053050  2.037901e-03  0.018234064  0.07290036 1.00  4504
mean.R[2, 14]    0.10459782 0.055589415  2.552661e-02  0.094383771  0.24040957 1.00  7616
mean.R[3, 14]    0.13092559 0.067523642  3.193602e-02  0.120257564  0.28942461 1.00  7565
mean.R[4, 14]    0.12606762 0.053184290  4.394993e-02  0.118762961  0.24879062 1.00  6462
mean.R[5, 14]    0.32822455 0.093291869  1.622248e-01  0.322415482  0.52461841 1.00  4795
mean.R[6, 14]    0.11805169 0.043859985  4.777796e-02  0.112771222  0.21900586 1.00  5888
mean.R[1, 15]    0.02481904 0.021644863  1.834337e-03  0.018955950  0.08175843 1.00  5479
mean.R[2, 15]    0.07554143 0.046676700  1.463995e-02  0.065234756  0.19375457 1.00  9319
