Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.08 
Min n.eff:                        0 


Model summary 
============= 
                       mean          sd          2.5%         50%       97.5% Rhat n.eff
betaVR.R[1]      0.39528230 0.967174380 -1.487692e+00  0.38314610  2.24056576 1.00  6106
mean.R[6, 8]     0.29895134 0.214911591  2.482944e-02  0.24835368  0.80609480 1.00  2835
mean.R[1, 9]     0.55690979 0.191787826  1.867295e-01  0.56265402  0.89343774 1.00  5119
mean.R[2, 9]     0.51373085 0.206762649  1.304827e-01  0.51778260  0.88565108 1.00  5127
mean.R[3, 9]     0.44545539 0.213346977  8.727110e-02  0.43175041  0.85872255 1.00  4547
mean.R[4, 9]     0.31702642 0.174946387  5.788486e-02  0.28982316  0.71028169 1.00  4419
mean.R[5, 9]     0.30385149 0.168563924  5.586249e-02  0.27650076  0.68313845 1.00  4102
mean.R[6, 9]     0.10091219 0.098302247  7.175827e-03  0.06938534  0.37856303 1.00  1675
mean.R[1, 10]    0.45123097 0.253131463  4.602958e-02  0.43659948  0.91803785 1.00  5751
mean.R[2, 10]    0.42750726 0.240829309  4.350241e-02  0.40855935  0.88982259 1.00  5969
mean.R[3, 10]    0.35630497 0.239775852  2.670162e-02  0.31478196  0.87181791 1.00  5572
mean.R[4, 10]    0.25954411 0.200495539  1.592802e-02  0.20912414  0.74261515 1.00  5289
mean.R[5, 10]    0.30771746 0.205921600  2.671674e-02  0.26742854  0.77681059 1.00  6363
mean.R[6, 10]    0.10550214 0.125385140  3.127469e-03  0.06049263  0.47765638 1.00  2292
mean.R[1, 11]    0.90290350 0.128703091  5.058197e-01  0.95427376  0.99852094 1.01  3303
mean.R[2, 11]    0.88291207 0.134266113  4.960746e-01  0.93380292  0.99723161 1.01  2557
mean.R[3, 11]    0.86478729 0.150861960  4.417681e-01  0.92181705  0.99700024 1.01  1794
mean.R[4, 11]    0.77108428 0.217169413  2.195526e-01  0.84529261  0.99409607 1.01  1327
mean.R[5, 11]    0.64308555 0.228616137  1.588833e-01  0.67912470  0.96743008 1.01  2246
mean.R[6, 11]    0.38404665 0.252674112  3.435336e-02  0.33845056  0.91067972 1.00  1976
mean.R[1, 12]    0.66458578 0.270188636  7.893394e-02  0.73638701  0.99008704 1.00  5615
