eps.phi[1, 12]   0.043147175 0.19950488 -0.345005467  0.0205505118  0.51433694 1.00  3221
eps.phi[2, 12]   0.031153356 0.20660830 -0.373094387  0.0135640524  0.50345315 1.01  3897
eps.phi[3, 12]  -0.021872923 0.21520621 -0.506287429 -0.0113223242  0.42507932 1.01  3345
eps.phi[4, 12]   0.043422018 0.21083529 -0.365807883  0.0179622607  0.55228161 1.00  2840
eps.phi[1, 13]  -0.062615122 0.19410878 -0.530468455 -0.0336055960  0.29457646 1.01  1959
eps.phi[2, 13]  -0.039871061 0.20345319 -0.516843144 -0.0177416186  0.35529384 1.01  2909
eps.phi[3, 13]   0.014257195 0.21463076 -0.441103622  0.0064512134  0.50164118 1.01  3879
eps.phi[4, 13]   0.133947765 0.25466881 -0.217285737  0.0637437703  0.81945591 1.01   465
eps.phi[1, 14]   0.008956040 0.19283305 -0.387242311  0.0037716970  0.43737894 1.00  3824
eps.phi[2, 14]  -0.020134139 0.19976107 -0.492327669 -0.0092445927  0.38004069 1.01  3883
eps.phi[3, 14]   0.012318846 0.21079861 -0.425468445  0.0064136031  0.47513432 1.01  3987
eps.phi[4, 14]  -0.019431215 0.21380512 -0.497961630 -0.0103195014  0.43124227 1.01  3685
eps.phi[1, 15]   0.067772241 0.21625281 -0.317800989  0.0312832886  0.60597759 1.01  1876
eps.phi[2, 15]  -0.030424437 0.19692278 -0.492766028 -0.0151832477  0.36088007 1.00  3597
eps.phi[3, 15]   0.013074611 0.22773960 -0.460587235  0.0044347098  0.52656310 1.01  3918
eps.phi[4, 15]  -0.036205509 0.21619785 -0.549497979 -0.0139273638  0.38479956 1.01  2817
eps.phi[1, 16]  -0.085003662 0.19911544 -0.572282009 -0.0446739411  0.25616174 1.01  1814
eps.phi[2, 16]   0.046889804 0.20308222 -0.323795349  0.0207449964  0.54091836 1.01  2918
eps.phi[3, 16]  -0.068837256 0.22347072 -0.613944123 -0.0296923446  0.33286649 1.01  1889
eps.phi[4, 16]   0.012400732 0.21834461 -0.460413049  0.0070797646  0.50808054 1.01  3010
eps.phi[1, 17]  -0.016114465 0.20825463 -0.472987447 -0.0102224791  0.42658393 1.00  3081
eps.phi[2, 17]  -0.024178281 0.21350381 -0.515820950 -0.0118812905  0.42216785 1.01  2788
eps.phi[3, 17]  -0.020424038 0.21467547 -0.511661229 -0.0089665773  0.42789993 1.00  4271
eps.phi[4, 17]   0.002890754 0.23193130 -0.485831494  0.0008403308  0.51834422 1.00  3217
mean.R[1, 1]     0.228263539 0.14836662  0.035655220  0.1934187646  0.60763905 1.00  4896
mean.R[2, 1]     0.172331760 0.12747866  0.023240991  0.1389885455  0.51843112 1.00  5536
mean.R[3, 1]     0.407722517 0.22384037  0.070006359  0.3725436089  0.88638015 1.00  6195
mean.R[4, 1]     0.182267473 0.17750307  0.011957009  0.1224875670  0.70983270 1.00  6450
mean.R[1, 2]     0.127785193 0.07708973  0.015845799  0.1181499130  0.30445262 1.00  2278
mean.R[2, 2]     0.080766332 0.05810782  0.008486967  0.0687015693  0.22699874 1.00  4227
mean.R[3, 2]     0.179342752 0.10672611  0.022841357  0.1640437530  0.43038278 1.00  4126
mean.R[4, 2]     0.062314717 0.04852104  0.005423442  0.0503334787  0.18590546 1.00  3937
mean.R[1, 3]     0.125398135 0.06642134  0.024109168  0.1175921679  0.27595682 1.01  1847
mean.R[2, 3]     0.078768002 0.05144409  0.012247021  0.0679217407  0.20629203 1.00  3970
mean.R[3, 3]     0.175209368 0.09624976  0.032988365  0.1609880224  0.39975989 1.00  4209
mean.R[4, 3]     0.060739866 0.04444364  0.007036525  0.0501365205  0.17369071 1.00  4261
mean.R[1, 4]     0.191263783 0.08038591  0.069945409  0.1788561415  0.38529005 1.00  5930
mean.R[2, 4]     0.119646286 0.07901678  0.024735249  0.1000396690  0.32476159 1.01  3099
mean.R[3, 4]     0.211773835 0.11479478  0.053117971  0.1894278216  0.49116965 1.00  4293
mean.R[4, 4]     0.079919254 0.05930072  0.011850397  0.0647196404  0.23581040 1.00  5484
mean.R[1, 5]     0.395834944 0.21918240  0.062673817  0.3702888667  0.85023028 1.01  2110
mean.R[2, 5]     0.346523692 0.13652712  0.121289578  0.3340446571  0.64369124 1.00  2367
mean.R[3, 5]     0.732450830 0.18634048  0.285578045  0.7751361551  0.97224023 1.01  4786
mean.R[4, 5]     0.445088674 0.25731170  0.041106736  0.4264142701  0.92340717 1.00  5428
mean.R[1, 6]     0.301398169 0.16856131  0.055984551  0.2747949093  0.68551609 1.00  3732
mean.R[2, 6]     0.246453732 0.10670355  0.080757973  0.2314629145  0.49402162 1.00  7384
mean.R[3, 6]     0.628868759 0.18323077  0.241385728  0.6473106404  0.92219079 1.00  6647
mean.R[4, 6]     0.333278814 0.22048409  0.029358092  0.2926168264  0.82074250 1.00  5627
mean.R[1, 7]     0.183268801 0.15322508  0.009127268  0.1405060139  0.57926642 1.00  3101
mean.R[2, 7]     0.143176978 0.09670098  0.010882394  0.1258753929  0.36757953 1.01  1009
mean.R[3, 7]     0.473891351 0.24287600  0.046986273  0.4763776660  0.89971480 1.00  2039
mean.R[4, 7]     0.229274921 0.20898130  0.006163500  0.1628238174  0.75800341 1.00  3525
mean.R[1, 8]     0.168800823 0.09411630  0.031910182  0.1539024730  0.40287306 1.00  4969
mean.R[2, 8]     0.111325123 0.06790612  0.019665794  0.0988268218  0.28275728 1.00  5879
mean.R[3, 8]     0.265178701 0.12973759  0.060088177  0.2496144268  0.56166035 1.00  6411
mean.R[4, 8]     0.099011343 0.07396964  0.011791816  0.0813027812  0.29109903 1.00  5497
mean.R[1, 9]     0.143328946 0.08025804  0.026421364  0.1315574998  0.33228801 1.00  3938
mean.R[2, 9]     0.089048294 0.05314251  0.016185960  0.0798149148  0.21839003 1.00  5063
mean.R[3, 9]     0.205393130 0.10536828  0.041760372  0.1920191500  0.44735528 1.00  5539
mean.R[4, 9]     0.074428667 0.05683693  0.008363386  0.0607557301  0.22164820 1.00  5102
mean.R[1, 10]    0.159726939 0.08759298  0.029605423  0.1475073578  0.36932243 1.00  4430
mean.R[2, 10]    0.110259966 0.06892310  0.016970752  0.0983005845  0.28102613 1.00  5061
mean.R[3, 10]    0.279512741 0.13296784  0.060265607  0.2675776687  0.56983331 1.00  5743
mean.R[4, 10]    0.105920444 0.08181901  0.011329035  0.0853396375  0.32101561 1.00  5360
mean.R[1, 11]    0.219054286 0.09900883  0.073550681  0.2027564243  0.45113619 1.00  3244
mean.R[2, 11]    0.135173077 0.10343566  0.020622207  0.1064301440  0.41458191 1.02  2030
mean.R[3, 11]    0.199334091 0.12350948  0.036950424  0.1728096970  0.50362556 1.00  2996
mean.R[4, 11]    0.081738770 0.07127437  0.008256342  0.0604191528  0.27872224 1.00  4260
mean.R[1, 12]    0.140770784 0.08042350  0.026847441  0.1269809576  0.33603123 1.00  6636
mean.R[2, 12]    0.080695637 0.06458236  0.010335110  0.0638103434  0.25246297 1.00  4224
mean.R[3, 12]    0.128272758 0.08849610  0.019134788  0.1077274212  0.35191374 1.00  6738
mean.R[4, 12]    0.048207099 0.04320447  0.004292595  0.0354827375  0.16614402 1.00  7815
mean.R[1, 13]    0.247483032 0.10511277  0.092862764  0.2288187891  0.49151127 1.00  2052
mean.R[2, 13]    0.155071413 0.10270380  0.029437323  0.1297438703  0.41995629 1.01  1632
mean.R[3, 13]    0.248395183 0.14147724  0.054069324  0.2193089722  0.58419558 1.00  1698
mean.R[4, 13]    0.102402787 0.08243390  0.012400341  0.0787012566  0.32461246 1.00  3139
mean.R[1, 14]    0.124088829 0.06621098  0.024314767  0.1156854016  0.27790306 1.00  3621
mean.R[2, 14]    0.071638490 0.04992379  0.010392898  0.0600802433  0.19926077 1.00  4766
mean.R[3, 14]    0.130916292 0.08550225  0.020094171  0.1130879954  0.34474000 1.00  5976
mean.R[4, 14]    0.046952708 0.03909929  0.004610438  0.0362885286  0.15014030 1.00  6310
mean.R[1, 15]    0.115792621 0.07254161  0.012661269  0.1052631141  0.28339255 1.01  2113
mean.R[2, 15]    0.067426430 0.04945436  0.006857116  0.0562018825  0.19032006 1.00  4265
mean.R[3, 15]    0.136299197 0.09079351  0.014726778  0.1181582482  0.35643027 1.00  3543
mean.R[4, 15]    0.047718330 0.04041338  0.003424371  0.0370623755  0.15383600 1.00  4389
mean.R[1, 16]    0.140270502 0.06456571  0.038491083  0.1329253996  0.28702672 1.00  4717
mean.R[2, 16]    0.086193850 0.05356375  0.017897821  0.0748019552  0.21875090 1.00  4683
mean.R[3, 16]    0.173163275 0.08800861  0.043648433  0.1597560242  0.38137956 1.00  6671
mean.R[4, 16]    0.062373800 0.04573145  0.008893221  0.0512800902  0.18057485 1.00  5698
mean.R[1, 17]    0.095171315 0.06485812  0.009152354  0.0825533931  0.24830560 1.02  1457
mean.R[2, 17]    0.057715395 0.04728347  0.004596946  0.0449987424  0.17742343 1.01  2941
mean.R[3, 17]    0.119314744 0.10162479  0.007263186  0.0920011874  0.37928512 1.01  2895
mean.R[4, 17]    0.045933350 0.05313421  0.001671722  0.0297385751  0.18751680 1.01  4356
mean.p[1]        0.931898663 0.01570984  0.897323440  0.9333797855  0.95885999 1.01  1298
mean.p[2]        0.941768540 0.03750366  0.847740240  0.9498432907  0.98891114 1.00  6056
mean.p[3]        0.943956012 0.03531315  0.855590552  0.9515037977  0.98928458 1.00  5786
mean.p[4]        0.963301131 0.02115482  0.912690479  0.9671245987  0.99219671 1.00  4287
mean.p[5]        0.958388777 0.02107673  0.906935445  0.9619117125  0.98871879 1.00  5386
mean.p[6]        0.966891801 0.01867016  0.921952456  0.9703148810  0.99313175 1.00  3356
mean.p[7]        0.965880559 0.01918920  0.919400766  0.9694549925  0.99273234 1.00  3960
mean.p[8]        0.953305349 0.02382594  0.895382590  0.9572596690  0.98739245 1.00  6144
mean.p[9]        0.962598022 0.02205750  0.908214280  0.9668040909  0.99250620 1.00  3893
mean.p[10]       0.945280184 0.02953181  0.872191793  0.9507631346  0.98637697 1.00  5697
mean.p[11]       0.945756577 0.02483114  0.887783638  0.9494731644  0.98277473 1.00  6449
mean.p[12]       0.918585473 0.03281005  0.842853023  0.9231536255  0.96852489 1.00  6955
mean.p[13]       0.868515728 0.04404002  0.769899105  0.8730481688  0.94022688 1.00  6445
mean.p[14]       0.719117562 0.06285440  0.590127891  0.7214479089  0.83423314 1.00  3655
mean.p[15]       0.905207500 0.03642875  0.821840357  0.9105351749  0.96145145 1.00  6755
mean.p[16]       0.927886715 0.03118681  0.855750877  0.9325630610  0.97498965 1.00  6814
mean.p[17]       0.937793722 0.02671324  0.875706541  0.9419068151  0.97771103 1.00  6786
mean.p[18]       0.856618775 0.07052717  0.699141979  0.8648860363  0.96600841 1.02  1765
mean.phi[1, 1]   0.811319376 0.06794614  0.663907266  0.8153578240  0.92850134 1.00  4922
mean.phi[2, 1]   0.818316611 0.04795476  0.709015189  0.8226748097  0.90198218 1.00  3362
mean.phi[3, 1]   0.733920832 0.08204242  0.537967634  0.7439605428  0.86752291 1.00  4116
mean.phi[4, 1]   0.635360999 0.10276992  0.449111905  0.6266464307  0.85582683 1.00  4062
mean.phi[1, 2]   0.782677551 0.04109600  0.696018298  0.7835230177  0.86401717 1.00  3295
mean.phi[2, 2]   0.829379459 0.03863736  0.744940931  0.8314325370  0.90073598 1.00  3973
