vegr[2]          0.159000000 0.00000000  0.159000000  0.1590000000  0.15900000  NaN     0
vegr[3]          0.195000000 0.00000000  0.195000000  0.1950000000  0.19500000  NaN     0
vegr[4]          0.662000000 0.00000000  0.662000000  0.6620000000  0.66200000  NaN     0
vegr[5]         -1.872000000 0.00000000 -1.872000000 -1.8720000000 -1.87200000  NaN     0
vegr[6]         -1.612000000 0.00000000 -1.612000000 -1.6120000000 -1.61200000  NaN     0
vegr[7]         -1.795000000 0.00000000 -1.795000000 -1.7950000000 -1.79500000  NaN     0
vegr[8]         -0.145000000 0.00000000 -0.145000000 -0.1450000000 -0.14500000  NaN     0
vegr[9]          0.081000000 0.00000000  0.081000000  0.0810000000  0.08100000  NaN     0
vegr[10]        -0.360000000 0.00000000 -0.360000000 -0.3600000000 -0.36000000  NaN     0
vegr[11]         1.085000000 0.00000000  1.085000000  1.0850000000  1.08500000  NaN     0
vegr[12]         1.027000000 0.00000000  1.027000000  1.0270000000  1.02700000  NaN     0
vegr[13]         0.867000000 0.00000000  0.867000000  0.8670000000  0.86700000  NaN     0
vegr[14]         0.765000000 0.00000000  0.765000000  0.7650000000  0.76500000  NaN     0
vegr[15]         0.516000000 0.00000000  0.516000000  0.5160000000  0.51600000  NaN     0
vegr[16]         0.427000000 0.00000000  0.427000000  0.4270000000  0.42700000  NaN     0
vegr[17]         0.574329787 0.82965427 -1.118566353  0.5905008843  2.15261934 1.00  3106
