Information and diagnostics 
=========================== 
Total iter:                       5000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.03 
Min n.eff:                        334 


Model summary 
============= 
                   mean         sd        2.5%         50%      97.5% Rhat n.eff
mean.rR[9]   0.71091222 0.11826796  0.45157694  0.72145514 0.91110588 1.00  3098
mean.rR[10]  0.69544215 0.12202899  0.43141058  0.70653867 0.89804580 1.01  3374
mean.rR[11]  0.63535177 0.13977231  0.33260847  0.64536094 0.87582355 1.00  3180
mean.rR[12]  0.55521454 0.15638024  0.23789544  0.55889126 0.83930358 1.00  3502
mean.rR[13]  0.50044590 0.16701929  0.18878489  0.50067926 0.80667751 1.00  3589
mean.rR[14]  0.66444690 0.13174774  0.38966349  0.67389679 0.88757386 1.00  3258
mean.rR[15]  0.59673756 0.15310049  0.28701363  0.60250860 0.86675139 1.00  3280
mean.rR[16]  0.55581623 0.15700586  0.24746927  0.55775153 0.84109571 1.00  3767
mean.rR[17]  0.44840926 0.16525031  0.14742627  0.44037967 0.77430461 1.00  2964
mu.juv       0.96897959 0.01673822  0.92825955  0.97215415 0.99117728 1.02  1294
mu.pre       0.93670302 0.02256773  0.88495668  0.93948145 0.97244077 1.01   498
mu.pri       0.97262470 0.01065483  0.94706016  0.97421941 0.98884577 1.00   680
mu.sen       0.79540674 0.04998444  0.68659772  0.79948323 0.88363988 1.03   440
mu.sub       0.97048917 0.01223986  0.94100950  0.97220621 0.98896513 1.00   970
sigma.phi    1.11707676 0.20765895  0.75737072  1.10842193 1.56706040 1.00   334
