Information and diagnostics 
=========================== 
Total iter:                       5000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.02 
Min n.eff:                        0 


Model summary 
============= 
                    mean          sd          2.5%          50%       97.5% Rhat n.eff
mean.rO[17]  0.334644115 0.154635087  0.0889360332  0.313900576  0.67753738 1.00  1500
mean.rR[1]   0.500201796 0.166750007  0.1809057448  0.500952713  0.80974605 1.00 15000
mean.rR[2]   0.557539632 0.157031883  0.2480809209  0.560667037  0.85242962 1.00  3555
mean.rR[3]   0.498746781 0.168979408  0.1742730574  0.502237524  0.81743696 1.00  3442
mean.rR[4]   0.552299959 0.156806807  0.2438860475  0.554435616  0.84447521 1.00  3542
mean.rR[5]   0.556947394 0.159188075  0.2325168207  0.561134574  0.84189141 1.00  3552
mean.rR[6]   0.633802684 0.141425508  0.3425249642  0.639982577  0.88060444 1.00  3415
mean.rR[7]   0.553212152 0.156384428  0.2484403019  0.557171743  0.84287108 1.00  3457
mean.rR[8]   0.555040108 0.157016294  0.2450804117  0.560834811  0.84210290 1.00  3862
mean.rR[9]   0.718490412 0.112718983  0.4727203789  0.728330702  0.90679804 1.00  3305
mean.rR[10]  0.688692812 0.125122989  0.4206445512  0.700946806  0.90088054 1.00  3423
mean.rR[11]  0.636791749 0.140685122  0.3429614745  0.644979479  0.88195491 1.00  3426
mean.rR[12]  0.555114459 0.156785748  0.2429691716  0.557040291  0.84131332 1.00  3465
mean.rR[13]  0.500024886 0.165218489  0.1879100115  0.499204585  0.81310640 1.00  3482
mean.rR[14]  0.665505069 0.130498471  0.3875663371  0.677789557  0.88678132 1.00  3545
mean.rR[15]  0.601564317 0.144553664  0.3146610253  0.605902661  0.85934265 1.00  3616
mean.rR[16]  0.557705490 0.157695522  0.2487805120  0.560793370  0.84823882 1.00  3395
mean.rR[17]  0.458705984 0.168964973  0.1586889451  0.452638711  0.79487710 1.00  3039
mu.phi[1]    0.968726023 0.016453363  0.9267625695  0.972178275  0.99133596 1.00  1526
mu.phi[2]    0.958825863 0.017178309  0.9150162278  0.961644596  0.98305337 1.01   752
mu.phi[3]    0.963990568 0.013784288  0.9312493654  0.966138087  0.98473458 1.01   641
mu.phi[4]    0.915216459 0.029048821  0.8472065778  0.919611904  0.95923154 1.00   559
mu.phi[5]    0.786718402 0.055251472  0.6619949261  0.792479050  0.87817235 1.01   350
sigma.phi    1.124115366 0.212287707  0.7791376892  1.102218001  1.60355067 1.01   349
veg[1]      -0.229640406 0.958674585 -2.1042662002 -0.231039708  1.64586964 1.00  2184
veg[2]       1.786000000 0.000000000  1.7860000000  1.786000000  1.78600000  NaN     0
veg[3]       2.190000000 0.000000000  2.1900000000  2.190000000  2.19000000  NaN     0
veg[4]       1.651000000 0.000000000  1.6510000000  1.651000000  1.65100000  NaN     0
veg[5]      -0.549000000 0.000000000 -0.5490000000 -0.549000000 -0.54900000  NaN     0
veg[6]      -0.447000000 0.000000000 -0.4470000000 -0.447000000 -0.44700000  NaN     0
veg[7]      -0.953000000 0.000000000 -0.9530000000 -0.953000000 -0.95300000  NaN     0
veg[8]      -0.518000000 0.000000000 -0.5180000000 -0.518000000 -0.51800000  NaN     0
veg[9]      -0.537000000 0.000000000 -0.5370000000 -0.537000000 -0.53700000  NaN     0
veg[10]     -0.664000000 0.000000000 -0.6640000000 -0.664000000 -0.66400000  NaN     0
veg[11]     -0.509000000 0.000000000 -0.5090000000 -0.509000000 -0.50900000  NaN     0
veg[12]     -0.377000000 0.000000000 -0.3770000000 -0.377000000 -0.37700000  NaN     0
veg[13]      0.075000000 0.000000000  0.0750000000  0.075000000  0.07500000  NaN     0
veg[14]     -0.243000000 0.000000000 -0.2430000000 -0.243000000 -0.24300000  NaN     0
veg[15]     -0.510000000 0.000000000 -0.5100000000 -0.510000000 -0.51000000  NaN     0
veg[16]     -0.394000000 0.000000000 -0.3940000000 -0.394000000 -0.39400000  NaN     0
veg[17]      0.021973747 0.999586459 -1.9097411112  0.015555334  2.00513425 1.00 15398
