Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.27 
Min n.eff:                        0 


Model summary 
============= 
                       mean         sd          2.5%          50%       97.5% Rhat n.eff
mean.R[2, 9]     0.16270395 0.08358810  0.0406699306  0.149649363  0.36393337 1.01  4760
mean.R[3, 9]     0.18751637 0.10940805  0.0372863082  0.166189939  0.45769845 1.00  4299
mean.R[4, 9]     0.14338013 0.06482825  0.0447142684  0.134325187  0.29667086 1.01  7433
mean.R[5, 9]     0.30895907 0.11975798  0.1056093325  0.299718363  0.57324496 1.00  7119
mean.R[6, 9]     0.13462347 0.09051728  0.0217793227  0.113563721  0.36678907 1.01  5689
mean.R[1, 10]    0.04140794 0.02737808  0.0061749863  0.036269896  0.10863906 1.02  3664
mean.R[2, 10]    0.12505865 0.07586552  0.0189404875  0.112206109  0.30420053 1.02  3140
mean.R[3, 10]    0.14953812 0.10492835  0.0170632219  0.126360432  0.40960613 1.01  3088
mean.R[4, 10]    0.11722372 0.07216875  0.0183784450  0.105703578  0.28881642 1.02  3519
mean.R[5, 10]    0.26722276 0.13166936  0.0540281384  0.255906101  0.55175204 1.02  2787
mean.R[6, 10]    0.11628896 0.09040941  0.0116828340  0.093293117  0.35053913 1.01  5493
mean.R[1, 11]    0.08740782 0.05444974  0.0233092035  0.073098911  0.22959986 1.02  2754
mean.R[2, 11]    0.22025572 0.10128363  0.0736438038  0.201543278  0.46518781 1.02  3465
mean.R[3, 11]    0.24627038 0.11946427  0.0678303937  0.227437006  0.52095402 1.02  4784
mean.R[4, 11]    0.20076904 0.09944397  0.0646068519  0.179385638  0.44748948 1.02  3093
mean.R[5, 11]    0.38960431 0.13854314  0.1559078607  0.376562250  0.68796099 1.02  2658
mean.R[6, 11]    0.17984677 0.11016547  0.0348849746  0.155417817  0.45785189 1.02  3494
mean.R[1, 12]    0.04338524 0.02761234  0.0068223521  0.038076401  0.10870845 1.04  2431
mean.R[2, 12]    0.11646611 0.06832235  0.0185176878  0.105496653  0.27355025 1.04  2085
mean.R[3, 12]    0.13421011 0.08927337  0.0178357639  0.115776063  0.35480269 1.02  2524
mean.R[4, 12]    0.09937424 0.05840652  0.0161825858  0.089671640  0.23584882 1.05  2220
mean.R[5, 12]    0.21048200 0.10669847  0.0410848105  0.199648251  0.44426248 1.04  2335
mean.R[6, 12]    0.08151516 0.05743828  0.0093736377  0.068454387  0.22308661 1.02  3328
mean.R[1, 13]    0.12052099 0.06844218  0.0366340022  0.103142312  0.29951584 1.03  2475
mean.R[2, 13]    0.23934847 0.10390534  0.0874806021  0.220228275  0.48480519 1.04  2143
mean.R[3, 13]    0.25451609 0.11926531  0.0775498132  0.234533743  0.54038355 1.04  2665
mean.R[4, 13]    0.18866575 0.09487112  0.0572527180  0.169464365  0.41982918 1.04  2843
mean.R[5, 13]    0.30742425 0.13426065  0.1044555961  0.286645306  0.61681027 1.02  2558
mean.R[6, 13]    0.12551040 0.08429987  0.0238514189  0.104921042  0.35063529 1.02  2910
mean.R[1, 14]    0.04571269 0.02934086  0.0067302558  0.040240434  0.11430755 1.04  2218
mean.R[2, 14]    0.11537206 0.06750349  0.0188600348  0.105560084  0.26997358 1.04  2220
mean.R[3, 14]    0.12776861 0.07866430  0.0197108673  0.113675766  0.31352610 1.04  2014
mean.R[4, 14]    0.09419512 0.05478174  0.0154591324  0.085649939  0.21924574 1.05  1573
mean.R[5, 14]    0.19189635 0.10167584  0.0343074094  0.180815551  0.41710974 1.05  2566
mean.R[6, 14]    0.07220212 0.05239528  0.0084487999  0.060071418  0.20379740 1.03  3257
mean.R[1, 15]    0.04315541 0.02797508  0.0070212911  0.037669980  0.11150959 1.03  3346
mean.R[2, 15]    0.12290423 0.07365713  0.0198791669  0.111599256  0.29229042 1.03  3134
mean.R[3, 15]    0.14195036 0.09426549  0.0193135130  0.121974036  0.37185485 1.02  2865
mean.R[4, 15]    0.10721297 0.06015368  0.0198170420  0.099121918  0.24544813 1.04  2958
mean.R[5, 15]    0.24015862 0.12202402  0.0479210324  0.228584786  0.50722972 1.03  4323
mean.R[6, 15]    0.09623851 0.06796259  0.0120330757  0.081102031  0.26503832 1.02  4477
mean.R[1, 16]    0.04803622 0.02877938  0.0096028330  0.042503839  0.11831378 1.02  3938
mean.R[2, 16]    0.12714701 0.06501663  0.0282717191  0.118549531  0.27502120 1.03  3306
mean.R[3, 16]    0.14705506 0.08873389  0.0257747242  0.131107133  0.36022546 1.02  4114
mean.R[4, 16]    0.11022584 0.05880149  0.0242063963  0.102115977  0.24860978 1.03  3340
mean.R[5, 16]    0.23266408 0.10477438  0.0618806629  0.223210778  0.46373083 1.03  3488
mean.R[6, 16]    0.09333748 0.06503345  0.0131223801  0.078437462  0.25626078 1.01  5422
mean.R[1, 17]    0.04907361 0.04483778  0.0025854445  0.036593073  0.16412391 1.05  1495
mean.R[2, 17]    0.09724933 0.07067497  0.0076954840  0.082482617  0.26309934 1.05  1278
mean.R[3, 17]    0.10791961 0.08573540  0.0074509141  0.087102519  0.32006785 1.04  1073
mean.R[4, 17]    0.07518177 0.06297807  0.0048842446  0.058611126  0.23002876 1.04  1267
mean.R[5, 17]    0.13824193 0.11607748  0.0069349849  0.107146797  0.42945999 1.03  1913
mean.R[6, 17]    0.05915364 0.07908057  0.0016916472  0.034587596  0.26668657 1.01  2558
mean.p[1]        0.84311397 0.22299368  0.1164361457  0.938683872  0.99863055 1.00  1636
mean.p[2]        0.97122355 0.03149835  0.8854188870  0.981665156  0.99958034 1.01  5833
mean.p[3]        0.98145864 0.01900627  0.9319604128  0.987416779  0.99969167 1.00  4604
mean.p[4]        0.98663337 0.01351068  0.9509994663  0.990751884  0.99982928 1.00  3513
mean.p[5]        0.97386746 0.01891430  0.9261390647  0.978255723  0.99726239 1.00  7009
mean.p[6]        0.98726991 0.01259055  0.9539252232  0.991171529  0.99973431 1.01  3706
mean.p[7]        0.98520214 0.01498623  0.9449311554  0.989783668  0.99975393 1.00  3704
mean.p[8]        0.96931971 0.02280915  0.9123320319  0.974682125  0.99702448 1.00  6054
mean.p[9]        0.98270462 0.01770798  0.9354945329  0.987932107  0.99968759 1.00  4274
mean.p[10]       0.97222085 0.02043834  0.9205118784  0.976959806  0.99723577 1.00  6211
mean.p[11]       0.96200190 0.02303700  0.9045450087  0.966620614  0.99300273 1.00  6833
mean.p[12]       0.92857627 0.03297061  0.8505090587  0.933859027  0.97789260 1.00  7067
mean.p[13]       0.89826031 0.03560954  0.8177634223  0.902089048  0.95594243 1.00  7348
mean.p[14]       0.72250791 0.05748146  0.6017201380  0.725935916  0.82742275 1.00  6322
mean.p[15]       0.91456329 0.03574930  0.8310920223  0.919796271  0.96878237 1.00  6990
mean.p[16]       0.95571424 0.02238556  0.9026211598  0.959454253  0.98831849 1.00  7443
mean.p[17]       0.95287368 0.02428388  0.8948670926  0.956676703  0.98788807 1.00  7577
mean.p[18]       0.81052514 0.09071472  0.6452409761  0.805034720  0.98577291 1.00   883
mean.phi[1, 1]   0.67436587 0.11779004  0.4287540731  0.681081992  0.88027784 1.00  6567
mean.phi[2, 1]   0.75266180 0.12053771  0.4745596450  0.772031772  0.93316635 1.00  6273
mean.phi[3, 1]   0.84687910 0.11344069  0.5606609654  0.874716672  0.98337645 1.00  5172
mean.phi[4, 1]   0.80792783 0.12995826  0.4727615687  0.839296183  0.96915223 1.00  5769
mean.phi[5, 1]   0.65223847 0.17943249  0.2460535891  0.678349785  0.92404423 1.00  5913
mean.phi[6, 1]   0.80960717 0.12972875  0.4955688736  0.836391077  0.98082837 1.00  6601
