Year,Veg
2008,NA
2009,574.455899100794
2010,631.9886785907322
2011,555.3356324387197
2012,242.32544435827066
2013,256.89461554464657
2014,184.87356355754198
2015,246.79475832178278
2016,244.13246073699798
2017,226.0283291784223
2018,248.01854675145606
2019,266.79237463176344
2020,331.1373328374417
2021,285.93258547594775
2022,247.94137591157664
2023,264.3811509342825
2024,NA
